FrameNum      3 
Frame         1
Ball001-023   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball024-046   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball047-069   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball070-092   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball093-115   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball116-138   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball139-161   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball162-184   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball185-207   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball208-230   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball231-253   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball254-276   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball277-299   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball300-322   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball323-345   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball346-368   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball369-391   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball392-414   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball415-437   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball438-460   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball461-483   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball484-506   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball507-529   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball530-552   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball553-575   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball576-598   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball599-621   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball622-644   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball645-667   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball668-690   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball691-713   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball714-736   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
Ball737-759   00200020002000200020002000200020002000200020002000200020002000200020002000200020002000200020
